Student Number,Cabin
2025-07090,Zeus
2025-06193,Zeus
2025-01338,Zeus
2025-02704,Zeus
2025-12951,Zeus
2025-09421,Zeus
2025-05105,Zeus
2025-11154,Zeus
2025-04512,Poseidon
2025-04371,Poseidon
2025-06768,Poseidon
2025-02124,Poseidon
2025-13979,Poseidon
2024-10818,Poseidon
2025-01884,Poseidon
2025-09514,Poseidon
2025-04458,Poseidon
2025-02698,Hades
2025-05762,Hades
2025-07899,Hades
2025-08012,Hades
2025-16531,Hades
2025-05146,Hades
2025-05584,Hades
2025-16902,Hades
2025-05888,Hades
2025-09058,Athena
2025-09267,Athena
2025-02808,Athena
2025-01088,Athena
2025-02055,Athena
2025-09476,Athena
2025-00361,Athena
2025-03179,Athena
2025-09912,Athena
2025-05739,Ares
2025-03695,Ares
2025-10615,Ares
2025-07108,Ares
2025-07721,Ares
2025-02596,Ares
2025-01188,Ares
2025-13197,Ares
2025-01599,Apollo
2025-01575,Apollo
2025-10848,Apollo
2025-10730,Apollo
2025-08483,Apollo
2025-17169,Apollo
2025-10573,Apollo
2025-06411,Apollo
2025-02293,Demeter
2024-03243,Demeter
2025-03776,Demeter
2025-11708,Demeter
2025-20011,Demeter
2025-10005,Demeter
2025-11835,Demeter
2025-13655,Demeter
2025-00533,Demeter
2025-11532,Hermes
2025-08438,Hermes
2025-14266,Hermes
2025-03606,Hermes
2025-12670,Hermes
2025-07081,Hermes
2025-08080,Hermes
2025-05268,Hermes
2025-04879,Hermes
2024-11925,Hephaestus
2025-14609,Hephaestus
2025-14842,Hephaestus
2025-04900,Hephaestus
2025-02530,Hephaestus
2025-14989,Hephaestus
2025-16662,Hephaestus
2025-12898,Hephaestus
2025-05809,Hephaestus
2025-10324,Artemis
2025-11784,Artemis
2025-06430,Artemis
2025-07241,Artemis
2025-14994,Artemis
2025-03642,Artemis
2025-05042,Artemis
2025-09449,Artemis
2025-09737,Aphrodite
2025-13108,Aphrodite
2025-00957,Aphrodite
2025-14505,Aphrodite
2025-07999,Aphrodite
2025-09508,Aphrodite
2025-10056,Aphrodite
2025-12787,Aphrodite
2025-00002,Dionysus
2025-01007,Dionysus
2025-14626,Dionysus
2025-07227,Dionysus
2025-02923,Dionysus
2025-03125,Dionysus
2025-02735,Dionysus
2025-08721,Dionysus
2025-05043,Dionysus
